velocity,acceleration,distance_re,velocity_re,ttc,ttc_lanechange,lanechange_using
32.09982844246552,1.999999999999993,99.95167700611611,6.082664294024006,16.43219284391321,-64.69313897865315,1.0
31.79982844246552,-3.000000000000007,99.3592191863995,5.9245781997230615,16.770654066901045,-111.50151196607216,0.0
31.49982844246552,-3.000000000000007,98.78166775488447,5.7755143176716075,17.103497850859736,-27.058938042460344,0.0
31.19982844246552,-3.000000000000007,98.21818816288972,5.634795922434339,17.430624854681362,85.18817516713047,1.0
30.89982844246552,-3.000000000000007,97.66800715190976,5.501810112253562,17.75194483992401,-112.58580311778174,1.0
31.09982844246552,1.999999999999993,97.13040712599737,5.376000261549169,18.067377553332264,57.206993017768426,1.0
31.299828442465518,1.999999999999993,96.60472117122188,5.256859550149041,18.376853420013624,14.377890998479252,0.0
30.999828442465517,-3.000000000000007,96.0903286323736,5.143925390850839,18.6803140652355,30.188550883888585,1.0
31.199828442465517,1.999999999999993,95.58665117157285,5.0367746103496245,18.977712681054626,-125.48849382445546,1.0
31.399828442465516,1.999999999999993,95.09314924530051,4.9350192650428255,19.269014252638947,29.91343180781065,0.0
31.599828442465515,1.999999999999993,94.60931894609689,4.838302994328675,19.55419565807237,41.506081038736255,0.0
31.799828442465515,1.999999999999993,94.13468916323008,4.7462978309408825,19.833245654563736,164.5864618198914,1.0
31.999828442465514,1.999999999999993,93.66881902330353,4.658701401517131,20.106164763243296,55.593456623420224,1.0
31.699828442465513,-3.000000000000007,93.21129557735912,4.575234461675247,20.372965064085204,-214.0346589923732,0.0
31.399828442465513,-3.000000000000007,92.76173170569014,4.4956387189031055,20.633669911897186,29.26466143633,1.0
31.099828442465512,-3.000000000000007,92.3197642155128,4.419674903970126,20.888313583754258,-79.18870544868071,0.0
30.79982844246551,-3.000000000000007,91.88505210996458,4.3471210576630135,21.136940867699842,86.14824628535904,0.0
30.99982844246551,1.999999999999993,91.45727500971226,4.277771004689384,21.379606601987124,55.89069376573054,0.0
31.19982844246551,1.999999999999993,91.036131710849,4.211432990780718,21.616375173577435,14.93770869974177,0.0
31.39982844246551,1.999999999999993,90.62133886481075,4.147928462519015,21.847319984052277,80.4698756951349,0.0
31.59982844246551,1.999999999999993,90.21262976778941,4.087090972336654,22.072522890525402,87.28757056184949,0.0
31.799828442465508,1.999999999999993,89.80975324864094,4.028765193597703,22.292073628571142,24.896248102746807,0.0
31.999828442465507,1.999999999999993,89.41247264557654,3.9728060327431933,22.50606922360763,24.735724403233903,1.0
32.1998284424655,1.9999999999999574,89.02056486306155,3.9190778272385884,22.71461339660406,67.34754406507184,1.0
32.399828442465505,2.0000000000000284,88.6338195013141,3.867453619553178,22.91781596941157,20.384476413980543,1.0
32.59982844246551,2.0000000000000284,88.25203805165364,3.8178144986716163,23.115792274464237,17.37710870834327,0.0
32.79982844246551,2.0000000000000284,87.875033151687,3.7700490017238764,23.308662573054097,20.80754936522936,0.0
32.999828442465514,2.0000000000000284,87.50262789496702,3.7240525692506843,23.49655148586114,,0.0
33.19982844246552,2.0000000000000284,87.13465519032901,3.6797270484216362,23.679587438918773,,0.0
33.33,1.301715575344815,86.77095716661131,3.6369802392129245,23.85790212771901,,0.0
33.33,0.0,86.4113846188994,3.595725479147518,24.031630001711342,,1.0
33.33,0.0,86.05579649282964,3.555881262717076,24.20090777103064,,1.0
33.33,0.0,85.7040594038259,3.5173708920532967,24.365873936898407,,0.0
33.33,0.0,85.35604718844615,3.4801221558068747,24.52666834678185,,0.0
33.33,0.0,85.01164048529317,3.4440670335328463,24.68343177506991,,0.0
33.33,0.0,84.67072634317518,3.409141423178916,24.836305529727,,1.0
33.33,0.0,84.33319785442109,3.375284889534555,24.98543108511933,,1.0
33.03,-2.9999999999999716,83.99895381144731,3.342440431727752,25.130949740974096,,1.0
33.230000000000004,2.0000000000000284,83.66789838484009,3.3105542680579774,25.27300230722324,,1.0
33.33,0.9999999999999432,83.33994082137504,3.2795756366317796,25.41172881430452,,1.0
33.33,0.0,83.01499516053038,3.249456610424467,25.54726824833766,,1.0
33.33,0.0,82.69297996817464,3.220151925530189,25.679758310464315,,1.0
33.33,0.0,82.37381808622317,3.191618821485946,25.8093351995336,,0.0
33.33,0.0,82.05743639715368,3.163816892664432,25.936133417226447,,1.0
33.33,0.0,81.74376560236752,3.1367079498278123,26.060285594646714,,0.0
33.33,0.0,81.43274001346165,3.1102558910211933,26.181922339354998,,1.0
33.33,0.0,81.12429735555148,3.0844265810618445,26.301172101785838,,0.0
33.33,0.0,80.8183785818524,3.0591877389493085,26.41816105996788,,1.0
33.33,0.0,80.51492769878995,3.034508832583299,26.533013021457258,,1.0
33.33,0.0,80.21389160096234,3.0103609802317592,26.645849341394765,,0.0
33.33,0.0,79.91521991533368,2.986716858241106,26.75678885560899,,1.0
33.33,0.0,79.61886485407621,2.9635506145254062,26.865947827703405,,0.0
33.33,0.0,79.32478107553011,2.9408377874114464,26.97343990909244,,0.0
33.33,0.0,79.03073817417425,2.9404290155214454,26.8771900240071,,1.0
33.33,0.0,78.73901145581723,2.9172671855330954,26.990582809987142,,0.0
33.33,0.0,78.4495553408288,2.894561151845121,27.102306775503433,,0.0
33.33,0.0,78.16232657415003,2.8722876687451233,27.21247432836525,,
33.33,0.0,77.87728409996795,2.8504247437787527,27.32119522116402,,
33.33,0.0,77.59438894320296,2.8289515696071668,27.428576540888752,,
33.33,0.0,77.31360409740627,2.807848459920727,27.53472270806308,,
33.33,0.0,77.03489441868874,2.787096789130249,27.63973548452674,,
