velocity,acceleration,distance_re,velocity_re,ttc,ttc_lanechange,lanechange_using
31.99982844246552,0.9999999999999787,99.73307101647035,5.5500000064851385,17.9698903064919,-33.078389854304035,1.0
32.09982844246552,1.0000000000000142,99.17807101606226,5.5500000064851385,17.86989048671508,14.549192101653377,1.0
32.199828442465524,1.0000000000000142,98.62307101565676,5.5500000064851385,17.76989066693872,13.65468255854944,0.0
32.299828442465525,1.0000000000000142,98.06807101525389,5.5500000064851385,17.669890847162836,-76.59772515002197,0.0
32.39982844246553,1.0000000000000142,97.51307101485368,5.5500000064851385,17.56989102738743,-208.75685227360347,0.0
32.49982844246553,1.0000000000000142,96.9580710144562,5.5500000064851385,17.469891207612516,-14.537663816868992,0.0
32.59982844246553,1.0000000000000142,96.40307101406145,5.5500000064851385,17.369891387838095,-281.83067716138027,0.0
32.69982844246553,1.0000000000000142,95.84807101366951,5.5500000064851385,17.26989156806418,-71.6956116596966,0.0
32.79982844246553,1.0000000000000142,95.29307101328043,5.5500000064851385,17.16989174829078,-75.75059201567299,1.0
32.899828442465534,1.0000000000000142,94.73807101289424,5.5500000064851385,17.0698919285179,51.05349890145742,0.0
32.999828442465535,1.0000000000000142,94.183071012511,5.5500000064851385,16.96989210874555,-59.482507558467745,1.0
33.09982844246554,1.0000000000000142,93.62807101213075,5.5500000064851385,16.869892288973745,-39.268480971814746,0.0
33.19982844246554,1.0000000000000142,93.07307101175354,5.5500000064851385,16.769892469202482,-192.09441740779926,0.0
33.29982844246554,1.0000000000000142,92.51807101137943,5.5500000064851385,16.66989264943178,-54.77088362403151,0.0
33.33,0.3017155753445877,91.96307101100847,5.5500000064851385,16.569892829661644,-257.7937134018098,0.0
33.33,0.0,91.40807101064073,5.5500000064851385,16.46989300989209,60.54049528332943,0.0
33.33,0.0,90.85307101027624,5.5500000064851385,16.369893190123122,18.879131972384748,0.0
33.33,0.0,90.29807100991506,5.5500000064851385,16.269893370354747,20.66616667268691,0.0
33.33,0.0,89.74307100955727,5.5500000064851385,16.169893550586984,8.879249303452193,1.0
33.33,0.0,89.18807100920291,5.5500000064851385,16.069893730819842,-86.52215464911279,0.0
33.33,0.0,88.6512844899243,5.36786519566493,16.515153810118136,14.466855608618962,1.0
33.33,0.0,88.10449797065446,5.467865195664931,16.113114293557018,-47.97342073508036,1.0
33.33,0.0,87.54949797031061,5.5500000064851385,15.77465587773892,15.276471435453596,0.0
33.33,0.0,86.99449796997047,5.5500000064851385,15.674656057974339,12.834925834622053,1.0
33.33,0.0,86.43949796963406,5.5500000064851385,15.57465623821043,-37.966414057411505,0.0
33.33,0.0,85.88449796930149,5.5500000064851385,15.47465641844721,-50.98217380433708,0.0
33.33,0.0,85.3294979689728,5.5500000064851385,15.374656598684693,391.51087180861964,1.0
33.33,0.0,84.77449796864809,5.5500000064851385,15.27465677892289,115.56423176139816,1.0
33.33,0.0,84.21949796832743,5.5500000064851385,15.174656959161819,-148.32771454182569,0.0
33.33,0.0,83.66449796801088,5.5500000064851385,15.074657139401486,,1.0
33.33,0.0,83.10949796769853,5.5500000064851385,14.974657319641912,,1.0
33.33,0.0,82.55449796739045,5.5500000064851385,14.874657499883106,,1.0
33.33,0.0,81.99949796708673,5.5500000064851385,14.774657680125086,,1.0
33.33,0.0,81.44449796678745,5.5500000064851385,14.674657860367867,,1.0
33.33,0.0,80.88949796649271,5.5500000064851385,14.574658040611466,,1.0
33.33,0.0,80.33449796620258,5.5500000064851385,14.474658220855893,,1.0
33.33,0.0,79.77949796591716,5.5500000064851385,14.374658401101172,,1.0
33.33,0.0,79.22449796563654,5.5500000064851385,14.274658581347316,,1.0
33.33,0.0,78.66949796536083,5.5500000064851385,14.174658761594342,,1.0
33.33,0.0,78.11449796509011,5.5500000064851385,14.074658941842268,,1.0
33.33,0.0,77.55949796482449,5.5500000064851385,13.974659122091111,,1.0
33.33,0.0,77.00449796456407,5.5500000064851385,13.874659302340895,,1.0
33.33,0.0,76.44949796430896,5.5500000064851385,13.774659482591634,,0.0
33.33,0.0,75.89449796405927,5.5500000064851385,13.674659662843348,,0.0
33.33,0.0,75.3394979638151,5.5500000064851385,13.57465984309606,,1.0
33.33,0.0,74.78449796357658,5.5500000064851385,13.474660023349788,,0.0
33.33,0.0,74.22949796334385,5.5500000064851385,13.374660203604558,,0.0
33.33,0.0,73.67449796311698,5.5500000064851385,13.274660383860384,,0.0
33.33,0.0,73.11949796289613,5.5500000064851385,13.174660564117298,,0.0
33.33,0.0,72.56449796268143,5.5500000064851385,13.074660744375317,,1.0
33.33,0.0,72.009497962473,5.5500000064851385,12.974660924634467,,1.0
33.33,0.0,71.454497962271,5.5500000064851385,12.874661104894775,,0.0
33.33,0.0,70.89949796207556,5.5500000064851385,12.774661285156263,,1.0
33.33,0.0,70.3444979618868,5.5500000064851385,12.674661465418959,,1.0
33.33,0.0,69.7894979617049,5.5500000064851385,12.574661645682887,,0.0
33.33,0.0,69.23449796153001,5.5500000064851385,12.47466182594808,,0.0
33.33,0.0,68.67949796136229,5.5500000064851385,12.374662006214564,,1.0
33.33,0.0,68.12449796120188,5.5500000064851385,12.274662186482367,,
33.33,0.0,67.56949796104898,5.5500000064851385,12.174662366751521,,
33.33,0.0,67.01449796090375,5.5500000064851385,12.07466254702206,,
33.33,0.0,66.45949796076637,5.5500000064851385,11.97466272729401,,
33.33,0.0,65.90449796063703,5.5500000064851385,11.87466290756741,,
33.33,0.0,65.3494979605159,5.5500000064851385,11.77466308784229,,
33.33,0.0,64.79449796040322,5.5500000064851385,11.67466326811869,,
